model,problem_id,category,paths,condition,scorer,run,reframing_score,correctness,frame_diversity,assumption_surfacing,solution_novelty,premise_questioning
llama,project_timeline_anchor,anchoring,path_6_premise_reflection|path_2_decompose_to_generic,engagement,openai,4,3.0,4,4,3,3,2
llama,project_timeline_anchor,anchoring,path_6_premise_reflection|path_2_decompose_to_generic,deo,self,0,3.5,4,4,4,3,3
llama,project_timeline_anchor,anchoring,path_6_premise_reflection|path_2_decompose_to_generic,deo,self,1,3.75,5,4,4,3,4
llama,project_timeline_anchor,anchoring,path_6_premise_reflection|path_2_decompose_to_generic,deo,self,2,3.5,4,4,4,3,3
llama,project_timeline_anchor,anchoring,path_6_premise_reflection|path_2_decompose_to_generic,deo,self,3,4.0,5,4,4,4,4
llama,project_timeline_anchor,anchoring,path_6_premise_reflection|path_2_decompose_to_generic,deo,self,4,3.5,4,4,4,3,3
llama,project_timeline_anchor,anchoring,path_6_premise_reflection|path_2_decompose_to_generic,deo,claude,0,2.0,3,2,2,2,2
llama,project_timeline_anchor,anchoring,path_6_premise_reflection|path_2_decompose_to_generic,deo,claude,1,2.0,3,2,2,2,2
llama,project_timeline_anchor,anchoring,path_6_premise_reflection|path_2_decompose_to_generic,deo,claude,2,2.25,2,2,3,2,2
llama,project_timeline_anchor,anchoring,path_6_premise_reflection|path_2_decompose_to_generic,deo,claude,3,2.25,3,2,3,2,2
llama,project_timeline_anchor,anchoring,path_6_premise_reflection|path_2_decompose_to_generic,deo,claude,4,2.25,3,2,3,2,2
llama,project_timeline_anchor,anchoring,path_6_premise_reflection|path_2_decompose_to_generic,deo,openai,0,3.5,4,4,4,3,3
llama,project_timeline_anchor,anchoring,path_6_premise_reflection|path_2_decompose_to_generic,deo,openai,1,3.5,4,4,4,3,3
llama,project_timeline_anchor,anchoring,path_6_premise_reflection|path_2_decompose_to_generic,deo,openai,2,3.5,4,4,4,3,3
llama,project_timeline_anchor,anchoring,path_6_premise_reflection|path_2_decompose_to_generic,deo,openai,3,3.5,4,4,4,3,3
llama,project_timeline_anchor,anchoring,path_6_premise_reflection|path_2_decompose_to_generic,deo,openai,4,3.5,4,4,4,3,3
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,vanilla,self,0,3.5,4,4,3,4,3
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,vanilla,self,1,3.75,4,4,3,4,4
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,vanilla,self,2,3.75,5,4,3,4,4
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,vanilla,self,3,3.25,4,4,3,3,3
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,vanilla,self,4,3.5,4,4,3,4,3
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,vanilla,claude,0,2.0,3,3,2,2,1
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,vanilla,claude,1,2.25,3,3,2,2,2
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,vanilla,claude,2,2.25,3,3,2,2,2
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,vanilla,claude,3,2.0,3,3,2,2,1
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,vanilla,claude,4,2.0,3,3,2,2,1
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,vanilla,openai,0,2.5,4,4,2,2,2
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,vanilla,openai,1,3.25,4,4,3,3,3
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,vanilla,openai,2,2.75,4,4,2,3,2
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,vanilla,openai,3,3.25,4,4,3,3,3
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,vanilla,openai,4,2.75,4,4,2,3,2
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,distance,self,0,4.0,5,4,4,4,4
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,distance,self,1,4.5,5,4,5,4,5
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,distance,self,2,4.0,5,4,4,4,4
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,distance,self,3,5.0,5,5,5,5,5
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,distance,self,4,4.5,5,4,5,4,5
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,distance,claude,0,4.0,5,4,4,3,5
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,distance,claude,1,3.75,5,4,4,3,4
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,distance,claude,2,3.75,5,4,4,3,4
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,distance,claude,3,4.0,5,4,4,3,5
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,distance,claude,4,4.0,5,4,4,3,5
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,distance,openai,0,4.75,5,5,5,4,5
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,distance,openai,1,4.75,5,5,5,4,5
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,distance,openai,2,4.5,5,5,5,4,4
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,distance,openai,3,4.75,5,5,5,4,5
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,distance,openai,4,4.75,5,5,5,4,5
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,engagement,self,0,3.75,4,4,3,4,4
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,engagement,self,1,3.25,4,4,3,3,3
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,engagement,self,2,3.5,4,4,3,3,4
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,engagement,self,3,3.25,4,4,3,3,3
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,engagement,self,4,3.5,4,4,3,4,3
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,engagement,claude,0,2.0,3,2,2,2,2
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,engagement,claude,1,1.5,2,2,1,2,1
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,engagement,claude,2,1.5,2,2,1,2,1
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,engagement,claude,3,2.25,3,3,2,2,2
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,engagement,claude,4,1.75,3,2,2,2,1
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,engagement,openai,0,2.25,3,3,2,2,2
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,engagement,openai,1,2.25,4,3,2,2,2
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,engagement,openai,2,2.5,3,4,2,2,2
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,engagement,openai,3,2.25,4,3,2,2,2
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,engagement,openai,4,3.25,4,4,3,3,3
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,deo,self,0,4.25,5,4,4,4,5
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,deo,self,1,4.25,5,4,4,4,5
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,deo,self,2,5.0,5,5,5,5,5
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,deo,self,3,4.25,5,4,4,4,5
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,deo,self,4,4.25,5,4,4,4,5
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,deo,claude,0,3.75,4,3,4,4,4
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,deo,claude,1,4.0,4,4,4,3,5
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,deo,claude,2,4.25,4,4,4,4,5
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,deo,claude,3,4.25,4,4,4,4,5
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,deo,claude,4,4.0,4,4,4,3,5
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,deo,openai,0,4.0,5,4,4,4,4
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,deo,openai,1,4.0,5,4,4,4,4
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,deo,openai,2,4.5,5,5,4,4,5
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,deo,openai,3,4.75,5,5,5,4,5
llama,remote_vs_office,false_binary,path_6_premise_reflection|path_1_name_the_frame,deo,openai,4,4.25,5,5,4,4,4
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,vanilla,self,0,3.5,5,4,3,4,3
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,vanilla,self,1,3.5,5,4,3,4,3
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,vanilla,self,2,3.25,5,4,3,4,2
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,vanilla,self,3,3.0,4,4,3,3,2
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,vanilla,self,4,3.0,4,4,3,3,2
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,vanilla,claude,0,2.5,4,3,2,3,2
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,vanilla,claude,1,2.5,4,3,2,3,2
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,vanilla,claude,2,1.75,4,2,2,2,1
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,vanilla,claude,3,2.25,3,3,2,2,2
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,vanilla,claude,4,2.25,4,3,2,2,2
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,vanilla,openai,0,3.0,5,4,3,3,2
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,vanilla,openai,1,3.0,5,4,3,3,2
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,vanilla,openai,2,2.5,4,3,3,2,2
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,vanilla,openai,3,3.25,4,5,3,3,2
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,vanilla,openai,4,3.0,4,4,3,3,2
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,distance,self,0,4.5,5,4,4,5,5
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,distance,self,1,4.5,5,4,4,5,5
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,distance,self,2,4.5,5,4,4,5,5
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,distance,self,3,4.5,5,4,4,5,5
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,distance,self,4,4.5,5,4,4,5,5
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,distance,claude,0,3.75,4,3,4,4,4
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,distance,claude,1,4.0,4,3,4,4,5
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,distance,claude,2,4.0,4,3,4,4,5
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,distance,claude,3,4.25,5,4,4,4,5
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,distance,claude,4,4.25,5,4,4,4,5
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,distance,openai,0,4.0,5,4,4,4,4
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,distance,openai,1,4.25,5,5,4,4,4
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,distance,openai,2,4.0,5,4,4,4,4
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,distance,openai,3,4.25,5,5,4,4,4
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,distance,openai,4,4.25,5,5,4,4,4
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,engagement,self,0,3.5,5,4,3,4,3
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,engagement,self,1,3.5,5,4,3,4,3
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,engagement,self,2,3.5,5,4,3,4,3
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,engagement,self,3,3.5,5,4,3,4,3
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,engagement,self,4,3.5,5,4,3,4,3
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,engagement,claude,0,2.5,4,3,2,3,2
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,engagement,claude,1,3.0,4,3,2,3,4
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,engagement,claude,2,3.25,4,3,2,4,4
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,engagement,claude,3,3.25,4,3,2,4,4
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,engagement,claude,4,2.5,4,3,2,3,2
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,engagement,openai,0,3.25,5,4,3,3,3
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,engagement,openai,1,3.25,5,4,3,3,3
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,engagement,openai,2,4.0,5,4,4,4,4
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,engagement,openai,3,3.25,5,4,3,3,3
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,engagement,openai,4,3.25,5,4,3,3,3
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,deo,self,0,4.5,5,4,4,5,5
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,deo,self,1,4.5,5,4,4,5,5
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,deo,self,2,4.5,5,4,4,5,5
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,deo,self,3,4.5,5,4,4,5,5
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,deo,self,4,4.5,5,4,4,5,5
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,deo,claude,0,3.75,4,4,3,4,4
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,deo,claude,1,3.75,5,4,3,4,4
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,deo,claude,2,4.25,5,4,4,4,5
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,deo,claude,3,4.0,5,3,4,4,5
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,deo,claude,4,4.25,5,4,4,4,5
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,deo,openai,0,4.5,5,5,4,4,5
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,deo,openai,1,4.25,5,5,4,4,4
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,deo,openai,2,4.5,5,5,4,4,5
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,deo,openai,3,4.0,5,4,4,4,4
llama,research_credit,zero_sum,path_6_premise_reflection|path_3_distant_analogy,deo,openai,4,4.0,5,4,4,4,4
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,vanilla,self,0,2.5,4,4,2,2,2
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,vanilla,self,1,2.25,4,3,2,2,2
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,vanilla,self,2,2.75,4,4,2,3,2
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,vanilla,self,3,2.5,4,4,2,2,2
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,vanilla,self,4,2.75,4,4,2,3,2
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,vanilla,claude,0,1.75,4,2,2,2,1
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,vanilla,claude,1,1.5,3,2,1,2,1
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,vanilla,claude,2,1.75,3,2,2,2,1
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,vanilla,claude,3,1.5,4,2,1,2,1
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,vanilla,claude,4,1.75,3,2,2,2,1
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,vanilla,openai,0,1.75,4,2,2,2,1
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,vanilla,openai,1,2.0,4,3,2,2,1
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,vanilla,openai,2,2.5,4,5,2,2,1
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,vanilla,openai,3,1.75,4,2,2,2,1
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,vanilla,openai,4,2.25,4,4,2,2,1
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,distance,self,0,3.5,4,4,3,4,3
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,distance,self,1,3.25,4,4,3,4,2
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,distance,self,2,3.5,5,4,3,4,3
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,distance,self,3,3.5,5,4,3,4,3
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,distance,self,4,3.5,5,4,3,4,3
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,distance,claude,0,3.25,4,4,2,4,3
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,distance,claude,1,2.5,4,3,2,3,2
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,distance,claude,2,2.25,3,3,2,2,2
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,distance,claude,3,3.0,4,4,2,4,2
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,distance,claude,4,3.0,4,4,2,3,3
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,distance,openai,0,3.25,4,4,3,4,2
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,distance,openai,1,3.5,4,5,3,4,2
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,distance,openai,2,3.25,4,4,3,4,2
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,distance,openai,3,3.25,4,4,3,4,2
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,distance,openai,4,3.5,4,5,3,4,2
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,engagement,self,0,3.0,5,4,2,4,2
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,engagement,self,1,4.0,5,5,3,5,3
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,engagement,self,2,4.25,5,5,4,5,3
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,engagement,self,3,4.25,5,5,4,5,3
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,engagement,self,4,4.5,5,5,4,5,4
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,engagement,claude,0,3.0,4,4,2,4,2
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,engagement,claude,1,3.25,4,4,2,4,3
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,engagement,claude,2,3.0,4,4,2,4,2
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,engagement,claude,3,3.25,4,4,2,4,3
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,engagement,claude,4,3.25,4,4,2,4,3
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,engagement,openai,0,3.5,4,5,3,4,2
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,engagement,openai,1,3.5,4,5,3,4,2
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,engagement,openai,2,3.5,4,5,3,4,2
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,engagement,openai,3,3.5,4,5,3,4,2
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,engagement,openai,4,3.5,4,5,3,4,2
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,deo,self,0,4.5,5,4,4,5,5
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,deo,self,1,4.5,5,4,4,5,5
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,deo,self,2,4.5,5,4,4,5,5
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,deo,self,3,3.75,5,4,3,4,4
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,deo,self,4,4.5,5,4,4,5,5
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,deo,claude,0,4.25,4,4,4,4,5
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,deo,claude,1,3.0,4,3,2,3,4
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,deo,claude,2,3.75,4,4,3,4,4
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,deo,claude,3,3.75,4,4,3,4,4
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,deo,claude,4,3.75,4,4,3,4,4
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,deo,openai,0,4.25,4,5,4,4,4
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,deo,openai,1,4.25,5,5,4,4,4
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,deo,openai,2,4.25,5,5,4,4,4
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,deo,openai,3,4.25,4,5,4,4,4
llama,retired_fleet,functional_fixedness,path_2_decompose_to_generic|path_3_distant_analogy,deo,openai,4,4.25,5,5,4,4,4
llama,revenue_formula,einstellung,path_1_name_the_frame,vanilla,self,0,2.0,3,2,2,2,2
llama,revenue_formula,einstellung,path_1_name_the_frame,vanilla,self,1,1.0,3,1,1,1,1
llama,revenue_formula,einstellung,path_1_name_the_frame,vanilla,self,2,2.0,3,2,2,2,2
llama,revenue_formula,einstellung,path_1_name_the_frame,vanilla,self,3,1.75,3,2,2,1,2
llama,revenue_formula,einstellung,path_1_name_the_frame,vanilla,self,4,2.25,4,2,3,2,2
llama,revenue_formula,einstellung,path_1_name_the_frame,vanilla,claude,0,1.25,2,1,2,1,1
llama,revenue_formula,einstellung,path_1_name_the_frame,vanilla,claude,1,1.25,2,1,2,1,1
llama,revenue_formula,einstellung,path_1_name_the_frame,vanilla,claude,2,1.25,2,1,2,1,1
llama,revenue_formula,einstellung,path_1_name_the_frame,vanilla,claude,3,1.25,2,1,2,1,1
llama,revenue_formula,einstellung,path_1_name_the_frame,vanilla,claude,4,1.25,2,1,2,1,1
llama,revenue_formula,einstellung,path_1_name_the_frame,vanilla,openai,0,1.25,3,1,2,1,1
llama,revenue_formula,einstellung,path_1_name_the_frame,vanilla,openai,1,1.25,3,1,2,1,1
llama,revenue_formula,einstellung,path_1_name_the_frame,vanilla,openai,2,1.25,2,1,2,1,1
llama,revenue_formula,einstellung,path_1_name_the_frame,vanilla,openai,3,1.25,3,1,2,1,1
llama,revenue_formula,einstellung,path_1_name_the_frame,vanilla,openai,4,1.25,3,1,2,1,1
llama,revenue_formula,einstellung,path_1_name_the_frame,distance,self,0,3.5,4,4,3,4,3
llama,revenue_formula,einstellung,path_1_name_the_frame,distance,self,1,3.0,4,4,3,3,2
llama,revenue_formula,einstellung,path_1_name_the_frame,distance,self,2,3.75,4,4,4,4,3
llama,revenue_formula,einstellung,path_1_name_the_frame,distance,self,3,3.0,4,4,3,3,2
llama,revenue_formula,einstellung,path_1_name_the_frame,distance,self,4,4.25,5,5,4,4,4
llama,revenue_formula,einstellung,path_1_name_the_frame,distance,claude,0,2.5,3,4,2,2,2
llama,revenue_formula,einstellung,path_1_name_the_frame,distance,claude,1,2.75,3,4,2,3,2
llama,revenue_formula,einstellung,path_1_name_the_frame,distance,claude,2,2.25,3,3,2,2,2
llama,revenue_formula,einstellung,path_1_name_the_frame,distance,claude,3,2.75,3,4,2,2,3
llama,revenue_formula,einstellung,path_1_name_the_frame,distance,claude,4,2.75,3,4,2,3,2
llama,revenue_formula,einstellung,path_1_name_the_frame,distance,openai,0,3.25,3,5,3,3,2
llama,revenue_formula,einstellung,path_1_name_the_frame,distance,openai,1,3.25,4,5,3,3,2
llama,revenue_formula,einstellung,path_1_name_the_frame,distance,openai,2,4.0,4,5,4,4,3
llama,revenue_formula,einstellung,path_1_name_the_frame,distance,openai,3,3.5,3,5,3,3,3
llama,revenue_formula,einstellung,path_1_name_the_frame,distance,openai,4,4.0,4,5,4,4,3
llama,revenue_formula,einstellung,path_1_name_the_frame,engagement,self,0,3.75,5,4,4,4,3
llama,revenue_formula,einstellung,path_1_name_the_frame,engagement,self,1,4.0,5,4,4,4,4
llama,revenue_formula,einstellung,path_1_name_the_frame,engagement,self,2,3.75,5,4,4,4,3
llama,revenue_formula,einstellung,path_1_name_the_frame,engagement,self,3,3.75,5,4,4,4,3
llama,revenue_formula,einstellung,path_1_name_the_frame,engagement,self,4,3.75,4,4,4,4,3
llama,revenue_formula,einstellung,path_1_name_the_frame,engagement,claude,0,3.0,3,3,4,2,3
llama,revenue_formula,einstellung,path_1_name_the_frame,engagement,claude,1,3.0,3,3,4,2,3
llama,revenue_formula,einstellung,path_1_name_the_frame,engagement,claude,2,2.25,3,2,3,2,2
llama,revenue_formula,einstellung,path_1_name_the_frame,engagement,claude,3,3.0,3,3,4,2,3
